Branch,Method,Estimator,StateRole,Location,StateCount,UniquePhaseCount,PhaseSetDeg,ValidFraction,TrainingFitNmseDb,HeldOutFitNmseDb,VsBranch1Coherence,VsBranch1ComplexNmseDb,VsBranch2Coherence,VsBranch2ComplexNmseDb,VsBranch3Coherence,VsBranch3ComplexNmseDb,VsBranch1PhaseRmseDeg,VsBranch1MagnitudeNrmse
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location1,3,3,0/90/180,1,-23.9474413890863,-16.6239716853778,0.96605671009585,-11.7565002589324,0.829787901958742,-5.06608823286255,0.945320947948641,-9.73187759763611,14.3966326593354,0.181815516843591
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location1,4,4,0/90/180/270,1,-22.2116594428998,-17.3990810773471,0.98215828200895,-14.5142499802823,0.845024089740879,-5.43733763176249,0.958760253606673,-10.9270273120164,10.1056079782283,0.126369806447946
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location1,5,5,0/90/180/270/45,1,-21.3772534301689,-17.6647833349819,0.989027682274982,-16.6106079757933,0.848017840547711,-5.51501229537087,0.964927948032081,-11.6169219416304,8.39235203145632,0.102496889110708
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location1,6,6,0/90/180/270/45/135,1,-20.9763910170155,-17.6557296204202,0.993283980148405,-18.7331885243448,0.849208974598848,-5.54638513020272,0.968284856353533,-12.0464536612237,6.2681960760362,0.0784777584412089
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location1,7,7,0/90/180/270/45/135/225,1,-20.7193170147089,-17.6585827956379,0.997223392955852,-22.5605893469555,0.854336477549353,-5.68460650487609,0.972899833756887,-12.71923008769,4.17474853507535,0.0523665734777201
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,Location1,8,8,0/90/180/270/45/135/225/315,1,-20.4693249282462,-17.8812029428136,1,-Inf,0.853226907101641,-5.65424956813186,0.975277346692657,-13.1127683823754,7.25607321520803e-16,0
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,Location1,9,8,0/90/180/270/45/135/225/315/360,1,-20.2716313163719,NaN,0.998287878368802,-24.6580733180557,0.856849923460346,-5.75431611341745,0.976056142970373,-13.2500660992175,3.25968592894407,0.0391390922074496
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location2,3,3,0/90/180,1,-19.9090976547351,-12.5752102992702,0.830607937262432,-5.08511602344358,0.458663567371766,-1.02577607516449,0.716753500204802,-3.13127506675339,39.4950757770385,0.374231799634091
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location2,4,4,0/90/180/270,1,-18.1240241909552,-13.3668139744742,0.91136756124427,-7.7106308964037,0.461854529325092,-1.04196152958309,0.764815915242769,-3.81892659315028,30.8283045576219,0.284239495432404
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location2,5,5,0/90/180/270/45,1,-17.3657050542925,-13.5639092116082,0.934520827631886,-8.97323408715637,0.474614130389608,-1.10843220671568,0.79034462526467,-4.25557362708323,23.7590543207591,0.24439727467674
