MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,FailureReason
1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,NaN,NaN,1,1,
2,B2_ONOFF,Branch2,OnOff,NaN,NaN,,,NaN,NaN,1,0,
3,B3_HADAMARD,Branch3,Hadamard,NaN,NaN,,,NaN,NaN,1,0,
4,B4_K03_I01-02-03,Branch4,PowerREV,3,3,1/2/3,0/45/90,3,13.2024309665537,1,0,
5,B4_K03_I01-02-04,Branch4,PowerREV,3,3,1/2/4,0/45/135,3,5.35734750587403,1,0,
6,B4_K03_I01-02-05,Branch4,PowerREV,3,3,1/2/5,0/45/180,3,3.45343908280328,1,0,
7,B4_K03_I01-02-06,Branch4,PowerREV,3,3,1/2/6,0/45/225,3,3.45343908280327,1,0,
8,B4_K03_I01-02-07,Branch4,PowerREV,3,3,1/2/7,0/45/270,3,5.35734750587403,1,0,
9,B4_K03_I01-02-08,Branch4,PowerREV,3,3,1/2/8,0/45/315,3,13.2024309665537,1,0,
10,B4_K03_I01-02-09,Branch4,PowerREV,3,2,1/2/9,0/45/360,2,Inf,0,0,PowerDesignRankBelow3
11,B4_K03_I01-03-04,Branch4,PowerREV,3,3,1/3/4,0/90/135,3,5.35734750587403,1,0,
12,B4_K03_I01-03-05,Branch4,PowerREV,3,3,1/3/5,0/90/180,3,2.35829447118226,1,0,
13,B4_K03_I01-03-06,Branch4,PowerREV,3,3,1/3/6,0/90/225,3,1.68454111593416,1,0,
14,B4_K03_I01-03-07,Branch4,PowerREV,3,3,1/3/7,0/90/270,3,2.35829447118226,1,0,
15,B4_K03_I01-03-08,Branch4,PowerREV,3,3,1/3/8,0/90/315,3,5.35734750587404,1,0,
16,B4_K03_I01-03-09,Branch4,PowerREV,3,2,1/3/9,0/90/360,2,Inf,0,0,PowerDesignRankBelow3
17,B4_K03_I01-04-05,Branch4,PowerREV,3,3,1/4/5,0/135/180,3,3.45343908280327,1,0,
18,B4_K03_I01-04-06,Branch4,PowerREV,3,3,1/4/6,0/135/225,3,1.68454111593416,1,0,
19,B4_K03_I01-04-07,Branch4,PowerREV,3,3,1/4/7,0/135/270,3,1.68454111593416,1,0,
20,B4_K03_I01-04-08,Branch4,PowerREV,3,3,1/4/8,0/135/315,3,3.45343908280328,1,0,
21,B4_K03_I01-04-09,Branch4,PowerREV,3,2,1/4/9,0/135/360,2,Inf,0,0,PowerDesignRankBelow3
22,B4_K03_I01-05-06,Branch4,PowerREV,3,3,1/5/6,0/180/225,3,3.45343908280327,1,0,
23,B4_K03_I01-05-07,Branch4,PowerREV,3,3,1/5/7,0/180/270,3,2.35829447118226,1,0,
24,B4_K03_I01-05-08,Branch4,PowerREV,3,3,1/5/8,0/180/315,3,3.45343908280328,1,0,
25,B4_K03_I01-05-09,Branch4,PowerREV,3,2,1/5/9,0/180/360,2,Inf,0,0,PowerDesignRankBelow3
26,B4_K03_I01-06-07,Branch4,PowerREV,3,3,1/6/7,0/225/270,3,5.35734750587403,1,0,
27,B4_K03_I01-06-08,Branch4,PowerREV,3,3,1/6/8,0/225/315,3,5.35734750587403,1,0,
28,B4_K03_I01-06-09,Branch4,PowerREV,3,2,1/6/9,0/225/360,2,Inf,0,0,PowerDesignRankBelow3
29,B4_K03_I01-07-08,Branch4,PowerREV,3,3,1/7/8,0/270/315,3,13.2024309665537,1,0,
30,B4_K03_I01-07-09,Branch4,PowerREV,3,2,1/7/9,0/270/360,2,Inf,0,0,PowerDesignRankBelow3
31,B4_K03_I01-08-09,Branch4,PowerREV,3,2,1/8/9,0/315/360,2,Inf,0,0,PowerDesignRankBelow3
32,B4_K03_I02-03-04,Branch4,PowerREV,3,3,2/3/4,45/90/135,3,13.2024309665538,1,0,
33,B4_K03_I02-03-05,Branch4,PowerREV,3,3,2/3/5,45/90/180,3,5.35734750587403,1,0,
34,B4_K03_I02-03-06,Branch4,PowerREV,3,3,2/3/6,45/90/225,3,3.45343908280328,1,0,
35,B4_K03_I02-03-07,Branch4,PowerREV,3,3,2/3/7,45/90/270,3,3.45343908280328,1,0,
36,B4_K03_I02-03-08,Branch4,PowerREV,3,3,2/3/8,45/90/315,3,5.35734750587403,1,0,
37,B4_K03_I02-03-09,Branch4,PowerREV,3,3,2/3/9,45/90/360,3,13.2024309665537,1,0,
38,B4_K03_I02-04-05,Branch4,PowerREV,3,3,2/4/5,45/135/180,3,5.35734750587403,1,0,
39,B4_K03_I02-04-06,Branch4,PowerREV,3,3,2/4/6,45/135/225,3,2.35829447118226,1,0,
40,B4_K03_I02-04-07,Branch4,PowerREV,3,3,2/4/7,45/135/270,3,1.68454111593416,1,0,
41,B4_K03_I02-04-08,Branch4,PowerREV,3,3,2/4/8,45/135/315,3,2.35829447118226,1,0,
42,B4_K03_I02-04-09,Branch4,PowerREV,3,3,2/4/9,45/135/360,3,5.35734750587403,1,0,
43,B4_K03_I02-05-06,Branch4,PowerREV,3,3,2/5/6,45/180/225,3,3.45343908280328,1,0,
44,B4_K03_I02-05-07,Branch4,PowerREV,3,3,2/5/7,45/180/270,3,1.68454111593416,1,0,
45,B4_K03_I02-05-08,Branch4,PowerREV,3,3,2/5/8,45/180/315,3,1.68454111593416,1,0,
46,B4_K03_I02-05-09,Branch4,PowerREV,3,3,2/5/9,45/180/360,3,3.45343908280327,1,0,
47,B4_K03_I02-06-07,Branch4,PowerREV,3,3,2/6/7,45/225/270,3,3.45343908280327,1,0,
48,B4_K03_I02-06-08,Branch4,PowerREV,3,3,2/6/8,45/225/315,3,2.35829447118226,1,0,
49,B4_K03_I02-06-09,Branch4,PowerREV,3,3,2/6/9,45/225/360,3,3.45343908280327,1,0,
50,B4_K03_I02-07-08,Branch4,PowerREV,3,3,2/7/8,45/270/315,3,5.35734750587403,1,0,
51,B4_K03_I02-07-09,Branch4,PowerREV,3,3,2/7/9,45/270/360,3,5.35734750587403,1,0,
52,B4_K03_I02-08-09,Branch4,PowerREV,3,3,2/8/9,45/315/360,3,13.2024309665538,1,0,
53,B4_K03_I03-04-05,Branch4,PowerREV,3,3,3/4/5,90/135/180,3,13.2024309665537,1,0,
54,B4_K03_I03-04-06,Branch4,PowerREV,3,3,3/4/6,90/135/225,3,5.35734750587403,1,0,
55,B4_K03_I03-04-07,Branch4,PowerREV,3,3,3/4/7,90/135/270,3,3.45343908280327,1,0,
56,B4_K03_I03-04-08,Branch4,PowerREV,3,3,3/4/8,90/135/315,3,3.45343908280328,1,0,
57,B4_K03_I03-04-09,Branch4,PowerREV,3,3,3/4/9,90/135/360,3,5.35734750587403,1,0,
58,B4_K03_I03-05-06,Branch4,PowerREV,3,3,3/5/6,90/180/225,3,5.35734750587404,1,0,
59,B4_K03_I03-05-07,Branch4,PowerREV,3,3,3/5/7,90/180/270,3,2.35829447118226,1,0,
60,B4_K03_I03-05-08,Branch4,PowerREV,3,3,3/5/8,90/180/315,3,1.68454111593416,1,0,
61,B4_K03_I03-05-09,Branch4,PowerREV,3,3,3/5/9,90/180/360,3,2.35829447118226,1,0,
62,B4_K03_I03-06-07,Branch4,PowerREV,3,3,3/6/7,90/225/270,3,3.45343908280327,1,0,
63,B4_K03_I03-06-08,Branch4,PowerREV,3,3,3/6/8,90/225/315,3,1.68454111593416,1,0,
64,B4_K03_I03-06-09,Branch4,PowerREV,3,3,3/6/9,90/225/360,3,1.68454111593416,1,0,
65,B4_K03_I03-07-08,Branch4,PowerREV,3,3,3/7/8,90/270/315,3,3.45343908280328,1,0,
66,B4_K03_I03-07-09,Branch4,PowerREV,3,3,3/7/9,90/270/360,3,2.35829447118226,1,0,
67,B4_K03_I03-08-09,Branch4,PowerREV,3,3,3/8/9,90/315/360,3,5.35734750587403,1,0,
68,B4_K03_I04-05-06,Branch4,PowerREV,3,3,4/5/6,135/180/225,3,13.2024309665538,1,0,
69,B4_K03_I04-05-07,Branch4,PowerREV,3,3,4/5/7,135/180/270,3,5.35734750587403,1,0,
