MethodIndex,MethodId,Branch,StateCount,UniquePhaseCount,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,MedianValidFraction,MedianTrainingFitNmseDb,MedianHeldOutFitNmseDb,Branch1Coherence,Branch1PhaseRmseDeg,Branch1ComplexNmseDb,Branch1MagnitudeNrmse,Branch2Coherence,Branch2PhaseRmseDeg,Branch2ComplexNmseDb,Branch2MagnitudeNrmse,Branch3Coherence,Branch3PhaseRmseDeg,Branch3ComplexNmseDb,Branch3MagnitudeNrmse,Branch4CanonicalCoherence,Branch4CanonicalPhaseRmseDeg,Branch4CanonicalComplexNmseDb,Branch4CanonicalMagnitudeNrmse
1,B1_DFT8,Branch1,8,8,NaN,NaN,1,1,1,NaN,NaN,1,7.34089204902752e-16,-Inf,0,0.827881285348248,41.807043902774,-5.12234823364919,0.377179038133024,0.973529067881377,13.783445850742,-12.924483200963,0.161146672708915,0.957344151570027,13.9618044064381,-10.943756602651,0.21868776892025
2,B2_ONOFF,Branch2,NaN,NaN,NaN,NaN,1,0,1,NaN,NaN,0.827881285348248,41.807043902774,-5.12234823364919,0.377179038133024,1,6.72699744258428e-16,-Inf,0,0.847108619711009,38.3111618179581,-5.6054248252488,0.363886508874625,0.771066663194441,45.5577599287534,-3.93060678386541,0.454127752893437
3,B3_HADAMARD,Branch3,NaN,NaN,NaN,NaN,1,0,1,NaN,NaN,0.973529067881377,13.783445850742,-12.924483200963,0.161146672708915,0.847108619711009,38.3111618179581,-5.6054248252488,0.363886508874625,1,7.63451241719518e-16,-Inf,0,0.932999712207674,20.2567953705577,-8.9734443120812,0.272246507209103
4,B4_K03_I01-02-03,Branch4,3,3,3,13.2024309665537,1,0,0.743303571428571,-321.956157149652,-11.3035837227568,0.552662621904733,67.7122012781758,-1.64780482008352,0.606667070204268,0.503871828723626,71.44049155592,-1.30261853267841,0.650944205822867,0.511437052345185,67.9463398334466,-1.41908134311417,0.615416547443973,0.570842326284024,66.7091072989643,-1.79892938889742,0.57910729623348
5,B4_K03_I01-02-04,Branch4,3,3,3,5.35734750587403,1,0,0.819196428571429,-321.921565757556,-16.7867431156463,0.681211177495963,52.5511134537028,-2.72769730094088,0.47363483327218,0.585912826314306,65.0705347237576,-1.84680891621629,0.611209235408955,0.658907192531647,53.8908056848873,-2.50931963536585,0.494408402045499,0.693949140175779,52.2511771525104,-2.91238330976807,0.454011845705163
6,B4_K03_I01-02-05,Branch4,3,3,3,3.45343908280328,1,0,0.851934523809524,-322.771219847478,-19.4614492188799,0.702449798684661,50.3257101567224,-2.95467897183699,0.474861064740503,0.585611258686204,60.1144395489291,-1.82450035768617,0.592216320338601,0.701457629141091,52.2222022824611,-2.94176440000802,0.487449807713307,0.750497859927567,49.6823255391691,-3.62863232642466,0.439491896398525
7,B4_K03_I01-02-06,Branch4,3,3,3,3.45343908280327,1,0,0.855654761904762,-321.831456940935,-19.581953252043,0.718539235807244,50.9905098983979,-3.15424747527928,0.492773399259898,0.597076597031663,60.2230163704197,-1.91489242654387,0.568562394106728,0.71707349179826,52.1022815390736,-3.13681229835295,0.488898288762387,0.749101375500315,48.8375060810818,-3.66126137366426,0.428185814428559
8,B4_K03_I01-02-07,Branch4,3,3,3,5.35734750587403,1,0,0.83110119047619,-323.424146717112,-16.7515355031346,0.68123927926634,54.7872154678597,-2.74687758646789,0.490052965117631,0.568119125491687,63.2563349509811,-1.69595226182261,0.602580957782861,0.657419725306987,58.6819814512164,-2.47613438624366,0.528623166526523,0.715188321765607,54.0837432863855,-3.144165917428,0.468306402617816
9,B4_K03_I01-02-08,Branch4,3,3,3,13.2024309665537,1,0,0.761160714285714,-322.301037764369,-11.136853887936,0.510203999135916,67.8843046058969,-1.31528647011981,0.617842105961155,0.461776721009314,75.0920512513691,-1.04780471888134,0.688986649671204,0.507326789145881,68.7545816339439,-1.29899143201374,0.63504022156152,0.530413397608677,65.2138141063968,-1.44928585206463,0.613130890567291
10,B4_K03_I01-02-09,Branch4,3,2,2,Inf,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,B4_K03_I01-03-04,Branch4,3,3,3,5.35734750587403,1,0,0.816220238095238,-322.782634938863,-16.5350363908488,0.674777759486545,53.1074960617852,-2.63871088509945,0.473388351840414,0.560322389096593,64.6719681292994,-1.64611103147763,0.608583537984045,0.649748322683269,55.0872105839969,-2.38302258263306,0.50227187859001,0.717031037663628,55.0743307519994,-3.13709325082296,0.467123220799751
12,B4_K03_I01-03-05,Branch4,3,3,3,2.35829447118226,1,0,0.89360119047619,-322.181117198422,-21.1849466578148,0.81983958224203,40.2025709485791,-4.8845383031347,0.388344401653366,0.661787200955432,57.2557399519368,-2.50405586169623,0.521372289198792,0.801632255077974,45.5464878682941,-4.46966021798771,0.430338554763487,0.859059648699173,39.6131144817811,-5.85137135124107,0.354820803241126
13,B4_K03_I01-03-06,Branch4,3,3,3,1.68454111593416,1,0,0.906994047619048,-322.209675457959,-22.1986025365725,0.850792016902601,34.4311657270302,-5.69802300898458,0.363923270608398,0.697488721714235,52.2477603451659,-2.90335149738863,0.505191767886296,0.83078874889681,35.9876739168378,-5.21527103516349,0.389873449949626,0.903946734461175,28.9915613809221,-7.3795818771593,0.320490718860902
14,B4_K03_I01-03-07,Branch4,3,3,3,2.35829447118226,1,0,0.888392857142857,-323.185011507853,-21.1898864546684,0.828096412685864,35.1738613149354,-5.03641906972762,0.398307904835003,0.693943466325155,52.3974210504848,-2.85482750702997,0.521921149488944,0.801323050988307,36.8749001391658,-4.47985242218376,0.427201153921433,0.875699899551006,29.1361786641787,-6.32591909863471,0.354548744413018
15,B4_K03_I01-03-08,Branch4,3,3,3,5.35734750587404,1,0,0.835565476190476,-321.960071431058,-16.8197266532473,0.694658309493827,52.9282366765715,-2.86273513702635,0.490476883944794,0.561511373414167,62.559392797389,-1.66811531128034,0.590018940803048,0.667778603017558,56.8692613277186,-2.57846089641817,0.511248020806482,0.726867025695441,48.3618451902157,-3.28273826615482,0.485160985994243
16,B4_K03_I01-03-09,Branch4,3,2,2,Inf,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,B4_K03_I01-04-05,Branch4,3,3,3,3.45343908280327,1,0,0.828869047619048,-322.033315667406,-19.0373863556099,0.682396144513189,55.5654960403318,-2.72701163703534,0.463160865161462,0.561296694076416,64.1440499498085,-1.65477756949387,0.621023635205994,0.653752222048831,55.5652091080708,-2.42629728850547,0.510112073568943,0.72807631865138,54.1970345179098,-3.29316467060316,0.435543938345224
18,B4_K03_I01-04-06,Branch4,3,3,3,1.68454111593416,1,0,0.905505952380952,-321.753231762724,-22.0939924348374,0.843285136290668,33.5467150683999,-5.47575941090448,0.363834561471933,0.66242146012118,53.5184728825731,-2.516731326409,0.524063719234065,0.806888722869979,38.1082301434097,-4.60608551872591,0.415876357934624,0.881110638815557,28.3322849314252,-6.51003297355494,0.308498187963365
19,B4_K03_I01-04-07,Branch4,3,3,3,1.68454111593416,1,0,0.90625,-322.318494996201,-22.0203506105596,0.864808448366539,34.0781941775396,-6.01439162493905,0.362355695350062,0.719403430928177,49.3595172112962,-3.16575570073732,0.509027398262063,0.821430857956136,37.2418288811191,-4.89015641098189,0.396942788719368,0.889991592148927,30.4990131416322,-6.8211562762168,0.32498820548193
20,B4_K03_I01-04-08,Branch4,3,3,3,3.45343908280328,1,0,0.852678571428571,-322.177827596419,-19.592197178016,0.743194976835232,49.7123852155035,-3.56301076115747,0.463108257490598,0.588708113251236,61.1970381373466,-1.89901991594456,0.593835306016668,0.710209842298231,53.3898761476618,-3.11043878078245,0.479398823341921,0.775549417406596,47.4849056971903,-4.06101997727206,0.45771283752058
21,B4_K03_I01-04-09,Branch4,3,2,2,Inf,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,B4_K03_I01-05-06,Branch4,3,3,3,3.45343908280327,1,0,0.835565476190476,-322.117513432138,-19.4827871763867,0.702984777843959,54.1476527483025,-2.97548400452121,0.497986772165589,0.569928655789165,64.3054428349787,-1.70947965097198,0.604892039393837,0.68104497486251,56.7492532176437,-2.7242596551056,0.511070348983622,0.74203347659605,52.3946229657487,-3.48694127718209,0.445969035958523
23,B4_K03_I01-05-07,Branch4,3,3,3,2.35829447118226,1,0,0.891369047619048,-322.63454278982,-21.0338219342037,0.793051367038078,39.9649365498469,-4.33255840379759,0.418654763049143,0.692150151018551,52.8023393054594,-2.83250989012875,0.547023228511867,0.785210050760978,40.2265795207075,-4.18305221319661,0.428577289090418,0.841982129743731,38.3704257847072,-5.36008873511484,0.352555748347567
