PipelineIndex,MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,ResponseRecoverable,StationCount,Stations,LocalizationValid,FailureReason,EstimatedX_M,EstimatedY_M,EstimatedZ_M,ErrorM,RmsRayDistanceM,GeometryConditionNumber,MinimumForwardRangeM,AllRaysForward
1,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,2,L1-L2,1,,0.36843317984293,1.37591846310019,1.43377759180682,1.75448110006831,0.0344602387747528,29.1482382113098,1.78266528170875,1
2,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,2,L1-L3,1,,-0.0878636281591003,1.88844447100859,1.53202628632037,1.20518935832448,0.260721840800912,15.6113989680393,1.87907486630504,1
3,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,2,L1-L4,1,,-0.271780316985845,2.27594801354968,1.49740887301191,0.858226014103336,0.279450390747981,4.73118824808886,2.4534046456468,1
4,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,2,L2-L3,1,,-0.151373992034363,1.73480913899332,1.58856647199978,1.36649199601862,0.177470718203803,5.9164063226005,1.7353010513977,1
5,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,2,L2-L4,1,,-0.438914673185026,1.96054762840221,1.5698492001465,1.21374942257704,0.18948877902684,2.69195208776441,2.10163027238171,1
6,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,2,L3-L4,1,,-0.256720006313231,2.4879612507925,1.78651260604673,0.714454540619968,0.00987507758928436,18.573767458728,2.50301288711324,1
7,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,3,L1-L2-L3,1,,-0.0334172857636893,1.72305981525619,1.48642531950797,1.3674159775305,0.224738571221656,8.89573472945418,1.70719272208873,1
8,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,3,L1-L2-L4,1,,-0.290729992664495,1.97745878400864,1.43704071109388,1.15162309718666,0.269824740626963,4.83511616774645,2.16607400407585,1
9,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,3,L1-L3-L4,1,,-0.263170155526587,2.43495786339817,1.771424736089,0.756313505660686,0.329224232463261,15.9482275975298,2.45035671827372,1
10,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,3,L2-L3-L4,1,,-0.334556720276225,2.05370043910147,1.71347055500701,1.10969124393025,0.225784458015931,6.36118187541928,2.07630774972509,1
11,1,B1_DFT8,Branch1,ComplexDFT,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,1,4,L1-L2-L3-L4,1,,-0.264924405130164,1.95479998646949,1.56290899917291,1.16739948318053,0.26927791326917,4.36183776234942,1.96448186034102,1
