Branch,StateCount,MethodCount,RecoverableMethodCount,FullyLocalizedMethodCount,MedianValidFraction,MedianBranch1Coherence,MedianBranch1PhaseRmseDeg,MedianDoaErrorDeg,MedianTwoStationErrorM,MedianThreeStationErrorM,MedianFourStationErrorM,MinFourStationErrorM,MaxFourStationErrorM
Branch1,NaN,1,1,1,1,1,7.34089204902752e-16,10.2214905242274,1.20946939045076,1.13065717055846,1.16739948318053,1.16739948318053,1.16739948318053
Branch2,NaN,1,1,1,1,0.827881285348248,41.807043902774,10.4301602459843,1.24320022665199,1.19217202506066,1.18287840482304,1.18287840482304,1.18287840482304
Branch3,NaN,1,1,1,1,0.973529067881377,13.783445850742,10.3906516388515,1.23466385125188,1.12825270978328,1.17115193635109,1.17115193635109,1.17115193635109
Branch4,3,84,77,77,0.834821428571429,0.702984777843959,50.3257101567224,10.1203859429378,1.1942313238488,1.10479638876357,1.1233212586767,0.796493377981464,1.2489798718073
Branch4,4,126,126,126,0.904017857142857,0.843792927086396,33.2691010941578,10.1786437973772,1.20073490535485,1.11832327533507,1.15651667186963,0.805394782225637,1.22797508696366
Branch4,5,126,126,126,0.93266369047619,0.893495000999855,26.1694768430888,10.2214905242274,1.20518935832448,1.12127045722269,1.1618198761809,1.09663721374547,1.21952086726985
Branch4,6,84,84,84,0.948660714285714,0.920816096368066,21.427365657058,10.2528632022961,1.20753584454201,1.12344667430916,1.16346345596227,1.12145136576506,1.19436534327531
Branch4,7,36,36,36,0.960565476190476,0.93815540677519,18.6610313180132,10.280169230669,1.21337188703673,1.12249792484522,1.16506484681628,1.14650233583629,1.17933216212281
Branch4,8,9,9,9,0.969494047619048,0.947984961902346,16.6225567529838,10.2528632022961,1.21193671837515,1.12374000734128,1.16628879499398,1.15758880171779,1.17327483918414
Branch4,9,1,1,1,0.976190476190476,0.959054713550385,13.565561149621,10.2953158287164,1.21506698254944,1.13527261851624,1.16806036406662,1.16806036406662,1.16806036406662
