MethodIndex,MethodId,Branch,StateCount,UniquePhaseCount,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,MedianValidFraction,MedianTrainingFitNmseDb,MedianHeldOutFitNmseDb,Branch1Coherence,Branch1PhaseRmseDeg,Branch1ComplexNmseDb,Branch1MagnitudeNrmse,Branch2Coherence,Branch2PhaseRmseDeg,Branch2ComplexNmseDb,Branch2MagnitudeNrmse,Branch3Coherence,Branch3PhaseRmseDeg,Branch3ComplexNmseDb,Branch3MagnitudeNrmse,Branch4CanonicalCoherence,Branch4CanonicalPhaseRmseDeg,Branch4CanonicalComplexNmseDb,Branch4CanonicalMagnitudeNrmse,ValidDoaCount,MedianDoaAngularErrorDeg,ValidLocalizationCount,TwoStationValidCount,TwoStationMedianErrorM,TwoStationMinErrorM,TwoStationMaxErrorM,TwoStationMedianRayRmsM,ThreeStationValidCount,ThreeStationMedianErrorM,ThreeStationMinErrorM,ThreeStationMaxErrorM,ThreeStationMedianRayRmsM,FourStationValidCount,FourStationErrorM,FourStationRayRmsM,FourStationEstimatedY_M,ForwardLocalizationCount
1,B1_DFT8,Branch1,8,8,NaN,NaN,1,1,1,NaN,NaN,1,7.34089204902752e-16,-Inf,0,0.827881285348248,41.807043902774,-5.12234823364919,0.377179038133024,0.973529067881377,13.783445850742,-12.924483200963,0.161146672708915,0.957344151570027,13.9618044064381,-10.943756602651,0.21868776892025,4,10.2214905242274,11,6,1.20946939045076,0.714454540619968,1.75448110006831,0.183479748615321,4,1.13065717055846,0.756313505660686,1.3674159775305,0.247804599321447,1,1.16739948318053,0.26927791326917,1.95479998646949,11
2,B2_ONOFF,Branch2,NaN,NaN,NaN,NaN,1,0,1,NaN,NaN,0.827881285348248,41.807043902774,-5.12234823364919,0.377179038133024,1,6.72699744258428e-16,-Inf,0,0.847108619711009,38.3111618179581,-5.6054248252488,0.363886508874625,0.771066663194441,45.5577599287534,-3.93060678386541,0.454127752893437,4,10.4301602459843,11,6,1.24320022665199,0.726191821004287,1.81041633359036,0.18802326036576,4,1.19217202506066,0.838671275461626,1.4141130814002,0.255528572498367,1,1.18287840482304,0.277040708570446,1.94091573377631,11
3,B3_HADAMARD,Branch3,NaN,NaN,NaN,NaN,1,0,1,NaN,NaN,0.973529067881377,13.783445850742,-12.924483200963,0.161146672708915,0.847108619711009,38.3111618179581,-5.6054248252488,0.363886508874625,1,7.63451241719518e-16,-Inf,0,0.932999712207674,20.2567953705577,-8.9734443120812,0.272246507209103,4,10.3906516388515,11,6,1.23466385125188,0.699985230469051,1.75107921647114,0.196674489387949,4,1.12825270978328,0.794743594866285,1.38835827043574,0.253720941355747,1,1.17115193635109,0.277565262432014,1.94926013714522,11
4,B4_K03_I01-02-03,Branch4,3,3,3,13.2024309665537,1,0,0.743303571428571,-321.956157149652,-11.3035837227568,0.552662621904733,67.7122012781758,-1.64780482008352,0.606667070204268,0.503871828723626,71.44049155592,-1.30261853267841,0.650944205822867,0.511437052345185,67.9463398334466,-1.41908134311417,0.615416547443973,0.570842326284024,66.7091072989643,-1.79892938889742,0.57910729623348,4,10.092741366109,11,6,3.27403353351309,0.764016703517564,20.6854801534234,0.253128637538501,4,1.06491778441271,0.79677678272491,4.03248525216811,1.08447037989135,1,0.883754962287425,1.29647860991058,2.2371404310311,8
5,B4_K03_I01-02-04,Branch4,3,3,3,5.35734750587403,1,0,0.819196428571429,-321.921565757556,-16.7867431156463,0.681211177495963,52.5511134537028,-2.72769730094088,0.47363483327218,0.585912826314306,65.0705347237576,-1.84680891621629,0.611209235408955,0.658907192531647,53.8908056848873,-2.50931963536585,0.494408402045499,0.693949140175779,52.2511771525104,-2.91238330976807,0.454011845705163,4,10.1028004038911,11,6,1.1537653646551,0.681553434207234,1.64463694713406,0.15268548779682,4,1.09366385817224,0.715900665315719,1.28976264990487,0.22910126879991,1,1.11545903202388,0.24605205310509,2.01278572050833,11
6,B4_K03_I01-02-05,Branch4,3,3,3,3.45343908280328,1,0,0.851934523809524,-322.771219847478,-19.4614492188799,0.702449798684661,50.3257101567224,-2.95467897183699,0.474861064740503,0.585611258686204,60.1144395489291,-1.82450035768617,0.592216320338601,0.701457629141091,52.2222022824611,-2.94176440000802,0.487449807713307,0.750497859927567,49.6823255391691,-3.62863232642466,0.439491896398525,4,10.0647225988354,11,6,1.16220699021337,0.688927795328871,1.69921538662497,0.139093679289356,4,1.1114530652829,0.784880794340801,1.32106283370513,0.221047317803141,1,1.13587227308174,0.24040533474991,1.99425989106642,11
7,B4_K03_I01-02-06,Branch4,3,3,3,3.45343908280327,1,0,0.855654761904762,-321.831456940935,-19.581953252043,0.718539235807244,50.9905098983979,-3.15424747527928,0.492773399259898,0.597076597031663,60.2230163704197,-1.91489242654387,0.568562394106728,0.71707349179826,52.1022815390736,-3.13681229835295,0.488898288762387,0.749101375500315,48.8375060810818,-3.66126137366426,0.428185814428559,4,10.1028004038911,11,6,1.17183899052363,0.695178491826181,1.6892029216442,0.165212078526134,4,1.10711120113758,0.713483962189141,1.32780849939448,0.233507113420892,1,1.14120620274516,0.252841585986977,1.98437218850716,11
8,B4_K03_I01-02-07,Branch4,3,3,3,5.35734750587403,1,0,0.83110119047619,-323.424146717112,-16.7515355031346,0.68123927926634,54.7872154678597,-2.74687758646789,0.490052965117631,0.568119125491687,63.2563349509811,-1.69595226182261,0.602580957782861,0.657419725306987,58.6819814512164,-2.47613438624366,0.528623166526523,0.715188321765607,54.0837432863855,-3.144165917428,0.468306402617816,4,10.0346953765213,11,6,1.19050835557775,0.679563278591536,1.81296230270502,0.115622190480054,4,1.12085245344184,0.698782720927158,1.35188106508048,0.237053520372691,1,1.17066786535959,0.257430735114382,1.95993005545293,11
9,B4_K03_I01-02-08,Branch4,3,3,3,13.2024309665537,1,0,0.761160714285714,-322.301037764369,-11.136853887936,0.510203999135916,67.8843046058969,-1.31528647011981,0.617842105961155,0.461776721009314,75.0920512513691,-1.04780471888134,0.688986649671204,0.507326789145881,68.7545816339439,-1.29899143201374,0.63504022156152,0.530413397608677,65.2138141063968,-1.44928585206463,0.613130890567291,4,9.86508041658901,11,6,3.27536391252715,0.744615541876463,30.7192308753112,0.216348979033502,4,1.0588240973051,0.762130179978391,3.90629073868938,1.06798081263495,1,0.854558379184829,1.27048658937405,2.25976338586521,8
10,B4_K03_I01-02-09,Branch4,3,2,2,Inf,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0
11,B4_K03_I01-03-04,Branch4,3,3,3,5.35734750587403,1,0,0.816220238095238,-322.782634938863,-16.5350363908488,0.674777759486545,53.1074960617852,-2.63871088509945,0.473388351840414,0.560322389096593,64.6719681292994,-1.64611103147763,0.608583537984045,0.649748322683269,55.0872105839969,-2.38302258263306,0.50227187859001,0.717031037663628,55.0743307519994,-3.13709325082296,0.467123220799751,4,9.72497314162609,11,6,3.23511755168402,0.659044328995394,25.5996110253355,0.201081957643464,4,1.16639385669603,0.678285625096314,3.99909833223007,1.09200844225325,1,0.844072995076526,1.31108910302658,2.2713550444172,8
12,B4_K03_I01-03-05,Branch4,3,3,3,2.35829447118226,1,0,0.89360119047619,-322.181117198422,-21.1849466578148,0.81983958224203,40.2025709485791,-4.8845383031347,0.388344401653366,0.661787200955432,57.2557399519368,-2.50405586169623,0.521372289198792,0.801632255077974,45.5464878682941,-4.46966021798771,0.430338554763487,0.859059648699173,39.6131144817811,-5.85137135124107,0.354820803241126,4,10.0114611724634,11,6,1.19453937137018,0.697509685436909,1.79011619521553,0.169728263317828,4,1.18133281327376,0.761505256183517,1.38604618021451,0.249491582286157,1,1.16532276943113,0.264022881116609,1.95959410908863,11
13,B4_K03_I01-03-06,Branch4,3,3,3,1.68454111593416,1,0,0.906994047619048,-322.209675457959,-22.1986025365725,0.850792016902601,34.4311657270302,-5.69802300898458,0.363923270608398,0.697488721714235,52.2477603451659,-2.90335149738863,0.505191767886296,0.83078874889681,35.9876739168378,-5.21527103516349,0.389873449949626,0.903946734461175,28.9915613809221,-7.3795818771593,0.320490718860902,4,10.0623326014646,11,6,1.18425000717667,0.714454540619968,1.74010441190043,0.171714961026333,4,1.13201415260237,0.754439968005409,1.35492240336928,0.244277588964321,1,1.15055857495117,0.261939867769714,1.97346356702838,11
14,B4_K03_I01-03-07,Branch4,3,3,3,2.35829447118226,1,0,0.888392857142857,-323.185011507853,-21.1898864546684,0.828096412685864,35.1738613149354,-5.03641906972762,0.398307904835003,0.693943466325155,52.3974210504848,-2.85482750702997,0.521921149488944,0.801323050988307,36.8749001391658,-4.47985242218376,0.427201153921433,0.875699899551006,29.1361786641787,-6.32591909863471,0.354548744413018,4,10.3313921294255,11,6,1.20072816748152,0.715391713390835,1.73464555780752,0.144684486866766,4,1.12163441640603,0.733556411252521,1.34772532949306,0.241455099514994,1,1.15457669011847,0.259762161680264,1.97152905649623,11
