Branch,Method,StationCount,Stations,EstimatedX_M,EstimatedY_M,EstimatedZ_M,ErrorM,RmsRayDistanceM,GeometryConditionNumber,MinimumForwardRangeM,AllRaysForward,RobustIterations,FinalWeightSpread,MinRayDistanceM,MaxRayDistanceM
Branch1,ComplexDFT,2,L1-L2,0.354834135277803,1.3978846929901,1.42831771220356,1.73040452673913,0.0379744138569498,29.7644679569504,1.80894913068815,1,2,1.0000000000001,0.0379744138569478,0.0379744138569517
Branch1,ComplexDFT,2,L1-L3,-0.0846220876882139,1.87852434919135,1.52959987177512,1.21478817191972,0.26344223125484,15.5389728827665,1.86878062387096,1,2,1.00000000000001,0.26344223125484,0.263442231254841
Branch1,ComplexDFT,2,L1-L4,-0.271496093095993,2.27218320475945,1.49405713810965,0.861724873002603,0.282967821571801,4.7251271432671,2.44988344954321,1,2,1,0.2829678215718,0.282967821571801
Branch1,ComplexDFT,2,L2-L3,-0.152899838022173,1.75227533905562,1.58843914982634,1.34933580408583,0.178374891283667,5.97182594593492,1.75281038015446,1,2,1,0.178374891283667,0.178374891283668
Branch1,ComplexDFT,2,L2-L4,-0.433316520966466,1.97491155111544,1.56992897009818,1.1983636831268,0.189916926185123,2.70681901101702,2.11704073524883,1,2,1.00000000000001,0.189916926185123,0.189916926185124
Branch1,ComplexDFT,2,L3-L4,-0.256720006313231,2.4879612507925,1.78651260604673,0.714454540619968,0.00987507758928436,18.573767458728,2.50301288711324,1,2,1,0.00987507758928373,0.00987507758928498
Branch1,ComplexDFT,3,L1-L2-L3,-0.0368688500374161,1.73611666594719,1.48414975212006,1.35447798973881,0.225543521169725,8.94371465648756,1.72042601630822,1,15,1.55761381733624,0.0712135685667678,0.313000058857428
Branch1,ComplexDFT,3,L1-L2-L4,-0.286669134867741,1.997257888998,1.4349849526959,1.13158803034447,0.268298954041302,4.74738685014648,2.18593839314293,1,15,1.98399725935525,0.104610401419358,0.358168923004007
Branch1,ComplexDFT,3,L1-L3-L4,-0.263160225861903,2.43491060799991,1.77153950621958,0.75639217303242,0.33360505051195,15.9896261294745,2.45031361463245,1,15,21.8031843308891,0.0136884081607452,0.577091641089791
Branch1,ComplexDFT,3,L2-L3-L4,-0.330516205478796,2.06920664572093,1.71554734430226,1.09440426345121,0.225623235231053,6.50779987282349,2.0913923113773,1,15,3.77898296017324,0.0940380002595407,0.355368000589571
Branch1,ComplexDFT,4,L1-L2-L3-L4,-0.263701964185844,1.96231415084701,1.5569062572657,1.15950524897965,0.269155601025042,4.36202061504196,1.97156920564162,1,15,1.98788791645164,0.18223332777746,0.362259430263583
Branch2,OnOff,2,L1-L2,0.377108682861361,1.37151269245137,1.43938368698316,1.76042151835829,0.0294932563850877,28.7536046484447,1.77365796533828,1,2,1.00000000000008,0.0294932563850865,0.0294932563850889
Branch2,OnOff,2,L1-L3,-0.0501326887439797,1.81203092331905,1.57025434810377,1.28088013524332,0.278979496742763,14.7990701074973,1.79512640643783,1,2,1.00000000000001,0.278979496742762,0.278979496742764
Branch2,OnOff,2,L1-L4,-0.267968815183011,2.287202489609,1.51039051945688,0.846403622094773,0.279060904784147,4.75946957823202,2.46436656335119,1,2,1,0.279060904784147,0.279060904784148
Branch2,OnOff,2,L2-L3,-0.126825056920212,1.70355273743824,1.61501046258745,1.39697817213884,0.201853147664764,5.75892493765723,1.69795620137721,1,2,1,0.201853147664764,0.201853147664764
Branch2,OnOff,2,L2-L4,-0.438629787714251,1.95873372804071,1.57513584554674,1.2156499759507,0.194709819958652,2.68996967470255,2.09926932092001,1,2,1.00000000000001,0.194709819958651,0.194709819958653
Branch2,OnOff,2,L3-L4,-0.243090418521179,2.51377013119509,1.83224626553769,0.708181752266655,0.0413050770109489,19.0892330672334,2.52916213690185,1,2,1.00000000000006,0.0413050770109477,0.0413050770109502
Branch2,OnOff,3,L1-L2-L3,-0.00648546170158748,1.69014223641873,1.50987574505893,1.39990762188535,0.241040510424451,8.58618450143192,1.66558727550412,1,15,1.3622403833586,0.0886344138536858,0.338949281511042
Branch2,OnOff,3,L1-L2-L4,-0.283677817080386,1.98730359858986,1.44447038326289,1.13995438326336,0.272115571686217,4.71233063815886,2.17642495467724,1,15,1.9624395790207,0.115944628835579,0.361811537807207
Branch2,OnOff,3,L1-L3-L4,-0.259402991926318,2.34844640124728,1.77174659720252,0.83128687294735,0.318501991143281,11.73667782834,2.36218663540669,1,15,5.19626272002194,0.0493494617181307,0.540969470767974
Branch2,OnOff,3,L2-L3-L4,-0.334089167771647,2.02485195424575,1.72936192107801,1.13963275761845,0.238729330424736,5.71987312914522,2.04493346193126,1,15,2.17538108433372,0.103091136622202,0.35904009723858
Branch2,OnOff,4,L1-L2-L3-L4,-0.258893523943595,1.94869384183098,1.57132579036297,1.1724730153762,0.283104841642023,4.20463278511474,1.95071991598156,1,15,1.84714478657814,0.196907951356748,0.363717495784399
Branch3,Hadamard,2,L1-L2,0.351185117808152,1.40172789041309,1.42667530830155,1.72596935470814,0.0324390394594849,29.8387321601045,1.81444511975045,1,2,1.00000000000004,0.0324390394594843,0.0324390394594855
Branch3,Hadamard,2,L1-L3,-0.0661739541225382,1.84012442892495,1.54673401500581,1.25249830480243,0.269359956350757,15.0478881502972,1.82713088269605,1,2,1,0.269359956350757,0.269359956350758
Branch3,Hadamard,2,L1-L4,-0.275906524619258,2.27935430973635,1.50011922725761,0.856312361049191,0.283165987618691,4.74969478716254,2.45435499090407,1,2,1.00000000000001,0.28316598761869,0.283165987618692
Branch3,Hadamard,2,L2-L3,-0.137568003338458,1.73332817125655,1.59592645602102,1.36699864353019,0.192287378669633,5.87219166144009,1.73067238392922,1,2,1,0.192287378669633,0.192287378669634
Branch3,Hadamard,2,L2-L4,-0.437647329349068,1.97538219185745,1.56797693946771,1.19938688812838,0.197226755192485,2.71364388024953,2.11533796025767,1,2,1,0.197226755192484,0.197226755192485
Branch3,Hadamard,2,L3-L4,-0.248625522383927,2.52655082769573,1.80723753266303,0.688247427621723,0.0225830552006242,19.1665480904845,2.54135955346609,1,2,1.00000000000011,0.022583055200623,0.0225830552006254
Branch3,Hadamard,3,L1-L2-L3,-0.0251572425789408,1.71958150623651,1.49359583530829,1.37066434557428,0.231850111028112,8.72801517571996,1.70042388858165,1,15,1.44136770031926,0.08342923058059,0.32361495406409
Branch3,Hadamard,3,L1-L2-L4,-0.283059053703626,2.01861763993496,1.43408539206453,1.11010239387248,0.270090220245122,4.62623364824004,2.20592162068168,1,15,1.61119037831264,0.126716108939654,0.365292737597254
Branch3,Hadamard,3,L1-L3-L4,-0.262201864840933,2.4119796681331,1.77383804945483,0.776819583738839,0.329829699899035,14.1414416224623,2.42699523876097,1,15,9.88363914539902,0.030014860318976,0.567752881089125
Branch3,Hadamard,3,L2-L3-L4,-0.326220510061741,2.04822259114148,1.71793564188066,1.11320076122632,0.234389791773338,6.01871071005344,2.06869169798659,1,15,3.25659545355398,0.110570180159882,0.360082346007317
Branch3,Hadamard,4,L1-L2-L3-L4,-0.259128145500031,1.95843353552448,1.55416933124767,1.16212063735386,0.276626924611416,4.33727333327625,1.96391834789376,1,15,1.88719058855924,0.187222474990406,0.353324492768663
Branch4,PowerREV,2,L1-L2,0.329273323533889,1.4462798042451,1.42536601504634,1.6780367204664,0.0296335852320078,30.7589485696184,1.86351795622728,1,2,1.00000000000006,0.0296335852320069,0.0296335852320087
Branch4,PowerREV,2,L1-L3,-0.0944450333962524,1.92007097303913,1.5364442488704,1.17430063260417,0.256597992115751,15.9234748925075,1.91136842209654,1,2,1,0.256597992115751,0.256597992115751
Branch4,PowerREV,2,L1-L4,-0.268440934438065,2.2927116443894,1.50386701786579,0.841275347969624,0.273055731966122,4.77017936613561,2.47045465704984,1,2,1,0.273055731966122,0.273055731966122
Branch4,PowerREV,2,L2-L3,-0.154367598857577,1.7837300675351,1.58425677772706,1.31805527070447,0.184099193748352,6.07539066488635,1.7840435603773,1,2,1,0.184099193748352,0.184099193748352
Branch4,PowerREV,2,L2-L4,-0.421930947458781,2.0014967361569,1.56569144339049,1.16926491675551,0.195178419014266,2.73513352866581,2.14578657336124,1,2,1.00000000000001,0.195178419014266,0.195178419014267
Branch4,PowerREV,2,L3-L4,-0.256720006313231,2.4879612507925,1.78651260604673,0.714454540619968,0.00987507758928436,18.573767458728,2.50301288711324,1,2,1,0.00987507758928373,0.00987507758928498
Branch4,PowerREV,3,L1-L2-L3,-0.0459406925903841,1.77344043638345,1.48564701248037,1.31743904604222,0.222373977242411,9.11876062010399,1.75851279804724,1,15,1.41835848012757,0.0818518005077483,0.310796414470715
Branch4,PowerREV,3,L1-L2-L4,-0.272781643780462,2.05424187448468,1.43599963024645,1.07298684385372,0.260947242964716,4.63242260498948,2.24412200691901,1,15,1.43755014177842,0.13321792333099,0.355978274643203
Branch4,PowerREV,3,L1-L3-L4,-0.262800363007291,2.43686084371899,1.77115471056165,0.754439968005409,0.320208753886042,15.8632167070931,2.45219856726915,1,15,20.2638811109865,0.0134600609626896,0.553856198645084
