===== FEKO 多点定位汇总 =====
有效点: MUSIC=100, CBF=100

MUSIC: 均值=173.8 cm  中位=131.9 cm  最大=812.8 cm  最小=59.2 cm
CBF:   均值=173.8 cm  中位=131.9 cm  最大=812.8 cm  最小=59.2 cm

No.  X       Y       Z       MUSICcm  CBFcm   
1    0.50    0.50    0.30    163.4    163.4   
2    0.50    1.53    0.30    112.5    112.5   
3    0.50    4.00    0.30    149.0    149.0   
4    0.50    6.47    0.30    135.9    135.9   
5    0.50    7.50    0.30    114.5    114.5   
6    2.75    0.50    0.30    155.6    155.6   
7    2.75    1.53    0.30    108.1    108.1   
8    2.75    4.00    0.30    111.9    111.9   
9    2.75    6.47    0.30    113.9    113.9   
10   2.75    7.50    0.30    225.4    225.4   
11   7.25    0.50    0.30    98.1     98.1    
12   7.25    1.53    0.30    131.1    131.1   
13   7.25    4.00    0.30    177.0    177.0   
14   7.25    6.47    0.30    144.2    144.2   
15   7.25    7.50    0.30    155.0    155.0   
16   9.50    0.50    0.30    177.5    177.5   
17   9.50    1.53    0.30    209.4    209.4   
18   9.50    4.00    0.30    151.7    151.7   
19   9.50    6.47    0.30    173.7    173.7   
20   9.50    7.50    0.30    248.8    248.8   
21   0.50    0.50    0.65    97.0     97.0    
22   0.50    1.53    0.65    109.0    109.0   
23   0.50    4.00    0.65    121.3    121.3   
24   0.50    6.47    0.65    113.9    113.9   
25   0.50    7.50    0.65    96.1     96.1    
26   2.75    0.50    0.65    117.2    117.2   
27   2.75    1.53    0.65    160.8    160.8   
28   2.75    4.00    0.65    160.8    160.8   
29   2.75    6.47    0.65    130.9    130.9   
30   2.75    7.50    0.65    89.1     89.1    
31   7.25    0.50    0.65    468.3    468.3   
32   7.25    1.53    0.65    178.5    178.5   
33   7.25    4.00    0.65    180.6    180.6   
34   7.25    6.47    0.65    130.9    130.9   
35   7.25    7.50    0.65    181.9    181.9   
36   9.50    0.50    0.65    131.1    131.1   
37   9.50    1.53    0.65    250.8    250.8   
38   9.50    4.00    0.65    101.6    101.6   
39   9.50    6.47    0.65    791.8    791.8   
40   9.50    7.50    0.65    160.0    160.0   
41   0.50    0.50    1.50    142.5    142.5   
42   0.50    1.53    1.50    180.7    180.7   
43   0.50    4.00    1.50    180.6    180.6   
44   0.50    6.47    1.50    534.1    534.1   
45   0.50    7.50    1.50    76.8     76.8    
46   2.75    0.50    1.50    69.5     69.5    
47   2.75    1.53    1.50    140.6    140.6   
48   2.75    4.00    1.50    202.8    202.8   
49   2.75    6.47    1.50    188.1    188.1   
50   2.75    7.50    1.50    99.1     99.1    
51   7.25    0.50    1.50    180.6    180.6   
52   7.25    1.53    1.50    184.6    184.6   
53   7.25    4.00    1.50    120.5    120.5   
54   7.25    6.47    1.50    143.8    143.8   
55   7.25    7.50    1.50    75.0     75.0    
56   9.50    0.50    1.50    130.8    130.8   
57   9.50    1.53    1.50    143.7    143.7   
58   9.50    4.00    1.50    170.3    170.3   
59   9.50    6.47    1.50    123.5    123.5   
60   9.50    7.50    1.50    86.6     86.6    
61   0.50    0.50    2.35    101.1    101.1   
62   0.50    1.53    2.35    812.8    812.8   
63   0.50    4.00    2.35    110.2    110.2   
64   0.50    6.47    2.35    563.8    563.8   
65   0.50    7.50    2.35    231.4    231.4   
66   2.75    0.50    2.35    727.5    727.5   
67   2.75    1.53    2.35    109.2    109.2   
68   2.75    4.00    2.35    177.8    177.8   
69   2.75    6.47    2.35    132.6    132.6   
70   2.75    7.50    2.35    123.8    123.8   
71   7.25    0.50    2.35    262.5    262.5   
72   7.25    1.53    2.35    117.5    117.5   
73   7.25    4.00    2.35    109.8    109.8   
74   7.25    6.47    2.35    660.3    660.3   
75   7.25    7.50    2.35    179.2    179.2   
76   9.50    0.50    2.35    72.4     72.4    
77   9.50    1.53    2.35    143.5    143.5   
78   9.50    4.00    2.35    126.2    126.2   
79   9.50    6.47    2.35    148.0    148.0   
80   9.50    7.50    2.35    119.3    119.3   
81   0.50    0.50    2.70    114.5    114.5   
82   0.50    1.53    2.70    125.9    125.9   
83   0.50    4.00    2.70    101.0    101.0   
84   0.50    6.47    2.70    160.2    160.2   
85   0.50    7.50    2.70    59.2     59.2    
86   2.75    0.50    2.70    95.0     95.0    
87   2.75    1.53    2.70    88.2     88.2    
88   2.75    4.00    2.70    134.6    134.6   
89   2.75    6.47    2.70    228.2    228.2   
90   2.75    7.50    2.70    120.1    120.1   
91   7.25    0.50    2.70    116.7    116.7   
92   7.25    1.53    2.70    204.2    204.2   
93   7.25    4.00    2.70    104.5    104.5   
94   7.25    6.47    2.70    73.4     73.4    
95   7.25    7.50    2.70    63.4     63.4    
96   9.50    0.50    2.70    117.9    117.9   
97   9.50    1.53    2.70    108.4    108.4   
98   9.50    4.00    2.70    112.2    112.2   
99   9.50    6.47    2.70    135.9    135.9   
100  9.50    7.50    2.70    86.6     86.6    
